month,total_contribution,total_interest,total_future_value
1,5250.00,50.00,5300.00
2,5500.00,103.00,5603.00
3,5750.00,159.03,5909.03
4,6000.00,218.12,6218.12
5,6250.00,280.30,6530.30
6,6500.00,345.60,6845.60
7,6750.00,414.06,7164.06
8,7000.00,485.70,7485.70
9,7250.00,560.56,7810.56
10,7500.00,638.67,8138.67
11,7750.00,720.06,8470.06
12,8000.00,804.76,8804.76
13,8250.00,892.81,9142.81
14,8500.00,984.24,9484.24
15,8750.00,1079.08,9829.08
16,9000.00,1177.37,10177.37
17,9250.00,1279.14,10529.14
18,9500.00,1384.43,10884.43
19,9750.00,1493.27,11243.27
20,10000.00,1605.70,11605.70
21,10250.00,1721.76,11971.76
22,10500.00,1841.48,12341.48
23,10750.00,1964.89,12714.89
24,11000.00,2092.04,13092.04
25,11250.00,2222.96,13472.96
26,11500.00,2357.69,13857.69
27,11750.00,2496.27,14246.27
28,12000.00,2638.73,14638.73
29,12250.00,2785.12,15035.12
30,12500.00,2935.47,15435.47
31,12750.00,3089.82,15839.82
32,13000.00,3248.22,16248.22
33,13250.00,3410.70,16660.70
34,13500.00,3577.31,17077.31
35,13750.00,3748.08,17498.08
36,14000.00,3923.06,17923.06
37,14250.00,4102.29,18352.29
38,14500.00,4285.81,18785.81
39,14750.00,4473.67,19223.67
40,15000.00,4665.91,19665.91
41,15250.00,4862.57,20112.57
42,15500.00,5063.70,20563.70
43,15750.00,5269.34,21019.34
44,16000.00,5479.53,21479.53
45,16250.00,5694.33,21944.33
46,16500.00,5913.77,22413.77
47,16750.00,6137.91,22887.91
48,17000.00,6366.79,23366.79
49,17250.00,6600.46,23850.46
50,17500.00,6838.96,24338.96
51,17750.00,7082.35,24832.35
52,18000.00,7330.67,25330.67
53,18250.00,7583.98,25833.98
54,18500.00,7842.32,26342.32
55,18750.00,8105.74,26855.74
56,19000.00,8374.30,27374.30
57,19250.00,8648.04,27898.04
58,19500.00,8927.02,28427.02
59,19750.00,9211.29,28961.29
60,20000.00,9500.90,29500.90
